ID,Produto,Data de Fabricação,Data Entrega,Tempo entrega,Status,Motivo devolução,Tempo Resolução,Nível de Satisfação
1249,Cama,20/01/2021,22/01/2021,2,Rejeitado,Não conformidade,1,2
1250,Cortina,20/01/2021,24/01/2021,4,Aceito,,,5
1251,Cortina,21/01/2021,28/01/2021,7,Aceito,,,5
1252,Sofá,21/01/2021,25/01/2021,4,Aceito,,,4
1253,Estante,22/01/2021,26/01/2021,4,Aceito,,,4
1254,Cama,23/01/2021,30/01/2021,7,Rejeitado,Danificado durante o transporte,6,1
1255,Mesa de jantar,23/01/2021,29/01/2021,6,Aceito,,,1
1256,Quadro decorativo,23/01/2021,25/01/2021,2,Aceito,,,5
1257,Tapete,23/01/2021,26/01/2021,3,Aceito,,,5
1258,Armário,24/01/2021,01/02/2021,8,Aceito,,,5
1259,Quadro decorativo,25/01/2021,02/02/2021,8,Aceito,,,1
1260,Cama,25/01/2021,28/01/2021,3,Aceito,,,5
1261,Cortina,25/01/2021,29/01/2021,4,Aceito,,,5
1262,Cortina,25/01/2021,31/01/2021,6,Rejeitado,Não conformidade,3,1
1263,Mesa de jantar,25/01/2021,28/01/2021,3,Aceito,,,5
1264,Estante,26/01/2021,29/01/2021,3,Rejeitado,Danificado durante o transporte,4,1
1265,Tapete,26/01/2021,01/02/2021,6,Aceito,,,3
1266,Cama,27/01/2021,03/02/2021,7,Aceito,,,5
1267,Armário,28/01/2021,30/01/2021,2,Aceito,,,5
1268,Sofá,28/01/2021,29/01/2021,1,Aceito,,,3
1269,Tapete,28/01/2021,01/02/2021,4,Aceito,,,4
1270,Cadeira de escritório,28/01/2021,04/02/2021,7,Aceito,,,3
1271,Armário,28/01/2021,03/02/2021,6,Aceito,,,5
1272,Luminária,29/01/2021,02/02/2021,4,Aceito,,,5
1273,Sofá,29/01/2021,31/01/2021,2,Aceito,,,5
1274,Mesa de jantar,30/01/2021,03/02/2021,4,Aceito,,,5
1275,Armário,30/01/2021,01/02/2021,2,Aceito,,,5
1276,Armário,30/01/2021,04/02/2021,5,Aceito,,,3
1277,Luminária,30/01/2021,02/02/2021,3,Aceito,,,5
1278,Tapete,30/01/2021,03/02/2021,4,Rejeitado,Não conformidade,3,2
1279,Cortina,30/01/2021,03/02/2021,4,Aceito,,,5
1280,Quadro decorativo,31/01/2021,04/02/2021,4,Rejeitado,Não conformidade,4,2
1281,Mesa de jantar,31/01/2021,08/02/2021,8,Aceito,,,5
1282,Mesa de jantar,31/01/2021,04/02/2021,4,Rejeitado,Danificado durante o transporte,4,1
1283,Mesa de jantar,01/02/2021,04/02/2021,3,Aceito,,,5
1284,Cortina,01/02/2021,05/02/2021,4,Aceito,,,4
1285,Estante,01/02/2021,06/02/2021,5,Rejeitado,Defeito no produto,4,2
1286,Cama,02/02/2021,07/02/2021,5,Aceito,,,5
1287,Tapete,02/02/2021,06/02/2021,4,Aceito,,,5
1288,Cortina,02/02/2021,04/02/2021,2,Aceito,,,5
1289,Estante,02/02/2021,04/02/2021,2,Aceito,,,5
1290,Quadro decorativo,02/02/2021,06/02/2021,4,Aceito,,,4
1291,Mesa de jantar,02/02/2021,04/02/2021,2,Aceito,,,4
1292,Quadro decorativo,03/02/2021,07/02/2021,4,Rejeitado,Defeito no produto,5,1
1293,Cortina,03/02/2021,05/02/2021,2,Rejeitado,Defeito no produto,5,2
1294,Mesa de jantar,04/02/2021,07/02/2021,3,Rejeitado,Não conformidade,3,2
1295,Mesa de jantar,04/02/2021,06/02/2021,2,Rejeitado,Insatisfação com Qualidade,6,2
1296,Cama,05/02/2021,10/02/2021,5,Aceito,,,5
1297,Tapete,05/02/2021,13/02/2021,8,Aceito,,,4
1298,Cama,06/02/2021,10/02/2021,4,Aceito,,,5
1299,Quadro decorativo,06/02/2021,10/02/2021,4,Aceito,,,4
1300,Cortina,06/02/2021,11/02/2021,5,Rejeitado,Danificado durante o transporte,5,1
1301,Cama,07/02/2021,11/02/2021,4,Aceito,,,3
1302,Quadro decorativo,07/02/2021,09/02/2021,2,Aceito,,,4
1303,Cama,07/02/2021,09/02/2021,2,Aceito,,,5
1304,Luminária,07/02/2021,11/02/2021,4,Rejeitado,Não conformidade,3,1
1305,Quadro decorativo,08/02/2021,11/02/2021,3,Aceito,,,5
1306,Luminária,08/02/2021,10/02/2021,2,Aceito,,,5
1307,Luminária,08/02/2021,11/02/2021,3,Aceito,,,5
1308,Quadro decorativo,09/02/2021,12/02/2021,3,Rejeitado,Danificado durante o transporte,1,1
1309,Armário,09/02/2021,10/02/2021,1,Aceito,,,4
1310,Tapete,09/02/2021,12/02/2021,3,Rejeitado,Defeito no produto,3,1
1311,Quadro decorativo,09/02/2021,13/02/2021,4,Aceito,,,5
1312,Tapete,11/02/2021,15/02/2021,4,Aceito,,,5
1313,Luminária,11/02/2021,18/02/2021,7,Aceito,,,5
1314,Cama,11/02/2021,15/02/2021,4,Rejeitado,Defeito no produto,4,1
1315,Sofá,11/02/2021,15/02/2021,4,Rejeitado,Danificado durante o transporte,6,2
1316,Mesa de jantar,12/02/2021,13/02/2021,1,Aceito,,,5
1317,Cadeira de escritório,13/02/2021,16/02/2021,3,Aceito,,,4
1318,Mesa de jantar,14/02/2021,18/02/2021,4,Aceito,,,5
1319,Sofá,14/02/2021,15/02/2021,1,Aceito,,,5
1320,Armário,14/02/2021,18/02/2021,4,Aceito,,,4
1321,Tapete,14/02/2021,19/02/2021,5,Aceito,,,5
1322,Cama,14/02/2021,16/02/2021,2,Aceito,,,4
1323,Sofá,14/02/2021,16/02/2021,2,Aceito,,,5
1324,Cortina,16/02/2021,21/02/2021,5,Aceito,,,5
1325,Armário,16/02/2021,19/02/2021,3,Aceito,,,5
1326,Sofá,17/02/2021,20/02/2021,3,Rejeitado,Defeito no produto,3,1
1327,Sofá,17/02/2021,23/02/2021,6,Rejeitado,Não conformidade,5,1
1328,Estante,17/02/2021,20/02/2021,3,Aceito,,,4
1329,Estante,17/02/2021,20/02/2021,3,Aceito,,,3
1330,Luminária,17/02/2021,20/02/2021,3,Aceito,,,4
1331,Cortina,18/02/2021,20/02/2021,2,Aceito,,,4
1332,Cama,18/02/2021,20/02/2021,2,Aceito,,,4
1333,Tapete,18/02/2021,22/02/2021,4,Aceito,,,5
1334,Mesa de jantar,18/02/2021,21/02/2021,3,Aceito,,,4
1335,Estante,19/02/2021,25/02/2021,6,Rejeitado,Não conformidade,5,1
1336,Cadeira de escritório,20/02/2021,23/02/2021,3,Aceito,,,5
1337,Cortina,20/02/2021,24/02/2021,4,Aceito,,,4
1338,Cortina,21/02/2021,25/02/2021,4,Aceito,,,5
1339,Luminária,21/02/2021,27/02/2021,6,Rejeitado,Defeito no produto,3,1
1340,Luminária,21/02/2021,23/02/2021,2,Aceito,,,4
1341,Quadro decorativo,22/02/2021,26/02/2021,4,Rejeitado,Danificado durante o transporte,6,1
1342,Tapete,22/02/2021,26/02/2021,4,Aceito,,,5
1343,Estante,22/02/2021,24/02/2021,2,Aceito,,,3
1344,Luminária,24/02/2021,27/02/2021,3,Aceito,,,5
1345,Luminária,24/02/2021,02/03/2021,6,Aceito,,,5
1346,Mesa de jantar,25/02/2021,28/02/2021,3,Aceito,,,4
1347,Cama,25/02/2021,28/02/2021,3,Aceito,,,5
1348,Cadeira de escritório,25/02/2021,01/03/2021,4,Aceito,,,5
1349,Sofá,26/02/2021,01/03/2021,3,Aceito,,,3
1350,Mesa de jantar,26/02/2021,02/03/2021,4,Aceito,,,4
1351,Cortina,26/02/2021,05/03/2021,7,Aceito,,,5
1352,Mesa de jantar,27/02/2021,01/03/2021,2,Aceito,,,5
1353,Cama,27/02/2021,03/03/2021,4,Aceito,,,5
1354,Luminária,28/02/2021,04/03/2021,4,Rejeitado,Defeito no produto,3,2
1355,Armário,28/02/2021,06/03/2021,6,Aceito,,,5
1356,Cortina,28/02/2021,04/03/2021,4,Rejeitado,Defeito no produto,6,2
1357,Cama,28/02/2021,02/03/2021,2,Aceito,,,5
1358,Armário,28/02/2021,04/03/2021,4,Aceito,,,4
1359,Sofá,01/03/2021,06/03/2021,5,Rejeitado,Insatisfação com Qualidade,3,2
1360,Sofá,01/03/2021,06/03/2021,5,Rejeitado,Defeito no produto,3,2
1361,Armário,01/03/2021,04/03/2021,3,Aceito,,,3
1362,Tapete,01/03/2021,05/03/2021,4,Aceito,,,5
1363,Mesa de jantar,01/03/2021,04/03/2021,3,Aceito,,,5
1364,Quadro decorativo,01/03/2021,04/03/2021,3,Aceito,,,5
1365,Estante,02/03/2021,10/03/2021,8,Aceito,,,3
1366,Estante,02/03/2021,08/03/2021,6,Aceito,,,5
1367,Sofá,02/03/2021,06/03/2021,4,Aceito,,,3
1368,Tapete,02/03/2021,07/03/2021,5,Aceito,,,4
1369,Estante,02/03/2021,06/03/2021,4,Aceito,,,5
1370,Armário,03/03/2021,11/03/2021,8,Rejeitado,Danificado durante o transporte,5,2
1371,Armário,03/03/2021,06/03/2021,3,Aceito,,,5
1372,Quadro decorativo,03/03/2021,08/03/2021,5,Aceito,,,5
1373,Cadeira de escritório,04/03/2021,11/03/2021,7,Rejeitado,Danificado durante o transporte,5,2
1374,Estante,04/03/2021,06/03/2021,2,Aceito,,,5
1375,Armário,04/03/2021,08/03/2021,4,Aceito,,,5
1376,Luminária,04/03/2021,08/03/2021,4,Aceito,,,4
1377,Mesa de jantar,05/03/2021,09/03/2021,4,Aceito,,,3
1378,Cama,05/03/2021,07/03/2021,2,Aceito,,,4
1379,Tapete,05/03/2021,09/03/2021,4,Rejeitado,Defeito no produto,1,2
1380,Estante,05/03/2021,08/03/2021,3,Aceito,,,4
1381,Tapete,05/03/2021,09/03/2021,4,Rejeitado,Danificado durante o transporte,4,1
1382,Cadeira de escritório,05/03/2021,06/03/2021,1,Aceito,,,5
1383,Tapete,06/03/2021,12/03/2021,6,Rejeitado,Danificado durante o transporte,6,1
1384,Luminária,06/03/2021,09/03/2021,3,Rejeitado,Não conformidade,2,2
1385,Mesa de jantar,06/03/2021,10/03/2021,4,Aceito,,,5
1386,Sofá,06/03/2021,09/03/2021,3,Aceito,,,4
1387,Quadro decorativo,07/03/2021,10/03/2021,3,Aceito,,,5
1388,Quadro decorativo,08/03/2021,11/03/2021,3,Aceito,,,4
1389,Cortina,08/03/2021,12/03/2021,4,Aceito,,,3
1390,Armário,08/03/2021,13/03/2021,5,Rejeitado,Não conformidade,4,2
1391,Quadro decorativo,08/03/2021,10/03/2021,2,Rejeitado,Insatisfação com Qualidade,6,1
1392,Tapete,09/03/2021,12/03/2021,3,Rejeitado,Defeito no produto,4,2
1393,Tapete,10/03/2021,13/03/2021,3,Aceito,,,5
1394,Tapete,10/03/2021,11/03/2021,1,Aceito,,,5
1395,Cama,10/03/2021,14/03/2021,4,Aceito,,,3
1396,Tapete,10/03/2021,14/03/2021,4,Aceito,,,5
1397,Estante,10/03/2021,14/03/2021,4,Rejeitado,Danificado durante o transporte,4,1
1398,Luminária,11/03/2021,13/03/2021,2,Aceito,,,5
1399,Cama,11/03/2021,13/03/2021,2,Aceito,,,4
1400,Mesa de jantar,12/03/2021,14/03/2021,2,Aceito,,,4
1401,Luminária,12/03/2021,14/03/2021,2,Aceito,,,4
1402,Sofá,13/03/2021,16/03/2021,3,Aceito,,,4
1403,Tapete,13/03/2021,17/03/2021,4,Aceito,,,3
1404,Cortina,13/03/2021,14/03/2021,1,Aceito,,,5
1405,Luminária,13/03/2021,19/03/2021,6,Aceito,,,4
1406,Quadro decorativo,14/03/2021,16/03/2021,2,Rejeitado,Defeito no produto,4,2
1407,Mesa de jantar,14/03/2021,18/03/2021,4,Rejeitado,Danificado durante o transporte,3,1
1408,Armário,14/03/2021,17/03/2021,3,Aceito,,,5
1409,Armário,15/03/2021,17/03/2021,2,Aceito,,,5
1410,Estante,15/03/2021,20/03/2021,5,Aceito,,,5
1411,Estante,16/03/2021,23/03/2021,7,Aceito,,,5
1412,Estante,17/03/2021,19/03/2021,2,Aceito,,,5
1413,Armário,17/03/2021,22/03/2021,5,Aceito,,,3
1414,Armário,17/03/2021,19/03/2021,2,Aceito,,,4
1415,Luminária,17/03/2021,21/03/2021,4,Aceito,,,4
1416,Quadro decorativo,17/03/2021,21/03/2021,4,Aceito,,,4
1417,Sofá,17/03/2021,23/03/2021,6,Aceito,,,3
1418,Cama,18/03/2021,20/03/2021,2,Aceito,,,5
1419,Sofá,18/03/2021,24/03/2021,6,Aceito,,,4
1420,Sofá,18/03/2021,21/03/2021,3,Aceito,,,3
1421,Cadeira de escritório,18/03/2021,22/03/2021,4,Aceito,,,4
1422,Mesa de jantar,19/03/2021,23/03/2021,4,Aceito,,,4
1423,Estante,19/03/2021,23/03/2021,4,Rejeitado,Não conformidade,1,2
1424,Tapete,19/03/2021,21/03/2021,2,Aceito,,,4
1425,Armário,19/03/2021,20/03/2021,1,Aceito,,,5
1426,Estante,19/03/2021,23/03/2021,4,Aceito,,,5
1427,Quadro decorativo,20/03/2021,24/03/2021,4,Aceito,,,3
1428,Estante,20/03/2021,24/03/2021,4,Aceito,,,5
1429,Cama,20/03/2021,24/03/2021,4,Rejeitado,Danificado durante o transporte,1,1
1430,Cadeira de escritório,20/03/2021,27/03/2021,7,Aceito,,,3
1431,Luminária,20/03/2021,22/03/2021,2,Aceito,,,5
1432,Estante,20/03/2021,27/03/2021,7,Aceito,,,5
1433,Luminária,20/03/2021,23/03/2021,3,Aceito,,,4
1434,Mesa de jantar,20/03/2021,23/03/2021,3,Aceito,,,5
1435,Cama,20/03/2021,24/03/2021,4,Aceito,,,5
1436,Luminária,20/03/2021,23/03/2021,3,Aceito,,,4
1437,Tapete,21/03/2021,23/03/2021,2,Aceito,,,5
1438,Mesa de jantar,21/03/2021,23/03/2021,2,Aceito,,,5
1439,Mesa de jantar,21/03/2021,25/03/2021,4,Rejeitado,Danificado durante o transporte,4,2
1440,Cama,22/03/2021,26/03/2021,4,Aceito,,,4
1441,Luminária,22/03/2021,24/03/2021,2,Aceito,,,4
1442,Armário,22/03/2021,26/03/2021,4,Rejeitado,Danificado durante o transporte,6,1
1443,Estante,23/03/2021,29/03/2021,6,Aceito,,,4
1444,Luminária,23/03/2021,25/03/2021,2,Aceito,,,4
1445,Estante,23/03/2021,30/03/2021,7,Aceito,,,5
1446,Cadeira de escritório,23/03/2021,27/03/2021,4,Rejeitado,Não conformidade,3,1
1447,Sofá,23/03/2021,26/03/2021,3,Aceito,,,5
1448,Tapete,23/03/2021,27/03/2021,4,Aceito,,,5
1449,Armário,24/03/2021,27/03/2021,3,Aceito,,,5
1450,Quadro decorativo,24/03/2021,28/03/2021,4,Aceito,,,5
1451,Luminária,24/03/2021,01/04/2021,8,Aceito,,,4
1452,Cadeira de escritório,24/03/2021,30/03/2021,6,Aceito,,,4
1453,Quadro decorativo,25/03/2021,28/03/2021,3,Aceito,,,5
1454,Cadeira de escritório,25/03/2021,30/03/2021,5,Aceito,,,5
1455,Cadeira de escritório,26/03/2021,30/03/2021,4,Aceito,,,4
1456,Cadeira de escritório,26/03/2021,01/04/2021,6,Rejeitado,Não conformidade,3,1
1457,Mesa de jantar,27/03/2021,03/04/2021,7,Rejeitado,Insatisfação com Qualidade,6,2
1458,Cama,28/03/2021,03/04/2021,6,Aceito,,,3
1459,Sofá,28/03/2021,29/03/2021,1,Rejeitado,Danificado durante o transporte,6,2
1460,Mesa de jantar,29/03/2021,01/04/2021,3,Aceito,,,5
1461,Cama,29/03/2021,06/04/2021,8,Aceito,,,5
1462,Quadro decorativo,29/03/2021,06/04/2021,8,Aceito,,,4
1463,Luminária,29/03/2021,01/04/2021,3,Aceito,,,4
1464,Luminária,29/03/2021,05/04/2021,7,Aceito,,,4
1465,Estante,31/03/2021,02/04/2021,2,Aceito,,,5
1466,Estante,31/03/2021,03/04/2021,3,Rejeitado,Não conformidade,2,1
1467,Cadeira de escritório,31/03/2021,03/04/2021,3,Aceito,,,4
1468,Quadro decorativo,01/04/2021,07/04/2021,6,Rejeitado,Defeito no produto,6,2
1469,Mesa de jantar,01/04/2021,04/04/2021,3,Aceito,,,5
1470,Luminária,01/04/2021,04/04/2021,3,Aceito,,,5
1471,Luminária,02/04/2021,07/04/2021,5,Rejeitado,Danificado durante o transporte,1,2
1472,Armário,03/04/2021,05/04/2021,2,Rejeitado,Danificado durante o transporte,1,2
1473,Cadeira de escritório,03/04/2021,07/04/2021,4,Aceito,,,4
1474,Quadro decorativo,03/04/2021,08/04/2021,5,Aceito,,,5
1475,Tapete,03/04/2021,09/04/2021,6,Aceito,,,4
1476,Luminária,04/04/2021,06/04/2021,2,Aceito,,,5
1477,Cama,04/04/2021,12/04/2021,8,Aceito,,,5
1478,Cama,04/04/2021,12/04/2021,8,Aceito,,,3
1479,Cadeira de escritório,04/04/2021,07/04/2021,3,Aceito,,,5
1480,Cadeira de escritório,04/04/2021,12/04/2021,8,Aceito,,,3
1481,Tapete,04/04/2021,09/04/2021,5,Aceito,,,4
1482,Mesa de jantar,04/04/2021,06/04/2021,2,Aceito,,,4
1483,Quadro decorativo,05/04/2021,10/04/2021,5,Aceito,,,5
1484,Estante,05/04/2021,08/04/2021,3,Aceito,,,5
1485,Cortina,06/04/2021,12/04/2021,6,Rejeitado,Insatisfação com Qualidade,4,2
1486,Tapete,06/04/2021,08/04/2021,2,Aceito,,,5
1487,Sofá,06/04/2021,14/04/2021,8,Aceito,,,5
1488,Armário,07/04/2021,10/04/2021,3,Aceito,,,5
1489,Cadeira de escritório,07/04/2021,09/04/2021,2,Aceito,,,5
1490,Cama,07/04/2021,11/04/2021,4,Aceito,,,4
1491,Tapete,07/04/2021,11/04/2021,4,Rejeitado,Defeito no produto,3,2
1492,Armário,08/04/2021,09/04/2021,1,Aceito,,,4
1493,Estante,08/04/2021,12/04/2021,4,Aceito,,,5
1494,Cortina,08/04/2021,10/04/2021,2,Aceito,,,5
1495,Cadeira de escritório,09/04/2021,13/04/2021,4,Aceito,,,5
1496,Cama,10/04/2021,14/04/2021,4,Rejeitado,Danificado durante o transporte,6,1
1497,Sofá,11/04/2021,17/04/2021,6,Aceito,,,5
1498,Luminária,11/04/2021,14/04/2021,3,Rejeitado,Danificado durante o transporte,2,1
1499,Sofá,12/04/2021,14/04/2021,2,Aceito,,,5
1500,Cama,12/04/2021,15/04/2021,3,Aceito,,,5
1501,Sofá,12/04/2021,15/04/2021,3,Aceito,,,5
1502,Sofá,13/04/2021,21/04/2021,8,Rejeitado,Insatisfação com Qualidade,4,2
1503,Cama,13/04/2021,17/04/2021,4,Aceito,,,5
1504,Cortina,13/04/2021,20/04/2021,7,Aceito,,,3
1505,Tapete,13/04/2021,21/04/2021,8,Rejeitado,Defeito no produto,4,1
1506,Cama,14/04/2021,17/04/2021,3,Aceito,,,5
1507,Cama,14/04/2021,22/04/2021,8,Rejeitado,Defeito no produto,5,2
1508,Tapete,14/04/2021,16/04/2021,2,Aceito,,,5
1509,Armário,14/04/2021,18/04/2021,4,Rejeitado,Defeito no produto,1,2
1510,Cortina,15/04/2021,19/04/2021,4,Aceito,,,5
1511,Quadro decorativo,15/04/2021,18/04/2021,3,Aceito,,,5
1512,Mesa de jantar,16/04/2021,22/04/2021,6,Aceito,,,5
1513,Quadro decorativo,16/04/2021,20/04/2021,4,Rejeitado,Defeito no produto,1,2
1514,Armário,16/04/2021,20/04/2021,4,Aceito,,,3
1515,Cama,16/04/2021,18/04/2021,2,Aceito,,,3
1516,Quadro decorativo,17/04/2021,20/04/2021,3,Rejeitado,Defeito no produto,2,2
1517,Estante,17/04/2021,21/04/2021,4,Aceito,,,5
1518,Cortina,17/04/2021,25/04/2021,8,Aceito,,,5
1519,Armário,18/04/2021,21/04/2021,3,Aceito,,,5
1520,Tapete,18/04/2021,20/04/2021,2,Aceito,,,5
1521,Cortina,18/04/2021,25/04/2021,7,Rejeitado,Danificado durante o transporte,4,2
1522,Cama,18/04/2021,24/04/2021,6,Aceito,,,3
1523,Sofá,18/04/2021,22/04/2021,4,Aceito,,,3
1524,Quadro decorativo,18/04/2021,21/04/2021,3,Rejeitado,Insatisfação com Qualidade,5,1
1525,Tapete,18/04/2021,26/04/2021,8,Aceito,,,5
1526,Mesa de jantar,18/04/2021,20/04/2021,2,Aceito,,,4
1527,Cadeira de escritório,19/04/2021,23/04/2021,4,Aceito,,,4
1528,Cortina,19/04/2021,20/04/2021,1,Aceito,,,3
1529,Luminária,20/04/2021,25/04/2021,5,Aceito,,,4
1530,Estante,20/04/2021,22/04/2021,2,Aceito,,,5
1531,Cama,20/04/2021,23/04/2021,3,Rejeitado,Não conformidade,5,2
1532,Tapete,21/04/2021,24/04/2021,3,Aceito,,,5
1533,Luminária,21/04/2021,26/04/2021,5,Aceito,,,5
1534,Mesa de jantar,22/04/2021,25/04/2021,3,Aceito,,,3
1535,Cama,23/04/2021,26/04/2021,3,Aceito,,,5
1536,Quadro decorativo,23/04/2021,25/04/2021,2,Aceito,,,5
1537,Cortina,23/04/2021,28/04/2021,5,Aceito,,,4
1538,Cama,24/04/2021,30/04/2021,6,Aceito,,,3
1539,Cortina,24/04/2021,26/04/2021,2,Rejeitado,Não conformidade,3,2
1540,Quadro decorativo,24/04/2021,27/04/2021,3,Aceito,,,3
1541,Luminária,25/04/2021,29/04/2021,4,Aceito,,,5
1542,Quadro decorativo,25/04/2021,02/05/2021,7,Aceito,,,3
1543,Quadro decorativo,26/04/2021,02/05/2021,6,Rejeitado,Defeito no produto,2,2
1544,Luminária,26/04/2021,29/04/2021,3,Aceito,,,5
1545,Cortina,26/04/2021,29/04/2021,3,Aceito,,,4
1546,Tapete,27/04/2021,01/05/2021,4,Rejeitado,Danificado durante o transporte,4,2
1547,Luminária,28/04/2021,30/04/2021,2,Aceito,,,4
1548,Armário,28/04/2021,29/04/2021,1,Aceito,,,5
1549,Armário,29/04/2021,01/05/2021,2,Aceito,,,3
1550,Cortina,29/04/2021,02/05/2021,3,Aceito,,,3
1551,Armário,29/04/2021,03/05/2021,4,Aceito,,,5
1552,Luminária,29/04/2021,03/05/2021,4,Aceito,,,4
1553,Cama,29/04/2021,05/05/2021,6,Aceito,,,5
1554,Luminária,30/04/2021,03/05/2021,3,Aceito,,,4
1555,Estante,30/04/2021,07/05/2021,7,Aceito,,,4
1556,Cortina,01/05/2021,05/05/2021,4,Rejeitado,Danificado durante o transporte,2,1
1557,Armário,01/05/2021,07/05/2021,6,Rejeitado,Defeito no produto,6,2
1558,Estante,02/05/2021,03/05/2021,1,Rejeitado,Defeito no produto,3,2
1559,Cadeira de escritório,02/05/2021,09/05/2021,7,Aceito,,,4
1560,Cadeira de escritório,02/05/2021,05/05/2021,3,Rejeitado,Defeito no produto,5,2
1561,Sofá,03/05/2021,07/05/2021,4,Aceito,,,5
1562,Mesa de jantar,04/05/2021,10/05/2021,6,Rejeitado,Defeito no produto,6,2
1563,Luminária,04/05/2021,10/05/2021,6,Aceito,,,5
1564,Mesa de jantar,04/05/2021,06/05/2021,2,Aceito,,,5
1565,Armário,04/05/2021,09/05/2021,5,Aceito,,,5
1566,Cadeira de escritório,04/05/2021,08/05/2021,4,Aceito,,,4
1567,Cortina,05/05/2021,09/05/2021,4,Aceito,,,4
1568,Estante,05/05/2021,08/05/2021,3,Aceito,,,5
1569,Mesa de jantar,05/05/2021,09/05/2021,4,Aceito,,,5
1570,Quadro decorativo,06/05/2021,08/05/2021,2,Aceito,,,5
1571,Luminária,06/05/2021,08/05/2021,2,Aceito,,,4
1572,Cortina,06/05/2021,10/05/2021,4,Aceito,,,3
1573,Mesa de jantar,06/05/2021,09/05/2021,3,Aceito,,,3
1574,Tapete,06/05/2021,09/05/2021,3,Aceito,,,5
1575,Tapete,06/05/2021,08/05/2021,2,Aceito,,,3
1576,Cadeira de escritório,07/05/2021,10/05/2021,3,Aceito,,,3
1577,Cama,07/05/2021,11/05/2021,4,Aceito,,,5
1578,Tapete,08/05/2021,11/05/2021,3,Aceito,,,4
1579,Cadeira de escritório,08/05/2021,11/05/2021,3,Aceito,,,5
1580,Cama,08/05/2021,12/05/2021,4,Rejeitado,Defeito no produto,3,2
1581,Quadro decorativo,08/05/2021,12/05/2021,4,Rejeitado,Danificado durante o transporte,2,1
1582,Cortina,08/05/2021,11/05/2021,3,Aceito,,,5
1583,Cama,09/05/2021,14/05/2021,5,Aceito,,,4
1584,Sofá,09/05/2021,10/05/2021,1,Aceito,,,5
1585,Sofá,10/05/2021,13/05/2021,3,Aceito,,,5
1586,Mesa de jantar,10/05/2021,14/05/2021,4,Aceito,,,5
1587,Luminária,11/05/2021,18/05/2021,7,Rejeitado,Danificado durante o transporte,6,2
1588,Tapete,11/05/2021,14/05/2021,3,Aceito,,,5
1589,Mesa de jantar,11/05/2021,14/05/2021,3,Rejeitado,Danificado durante o transporte,5,2
1590,Sofá,11/05/2021,15/05/2021,4,Aceito,,,4
1591,Cortina,11/05/2021,14/05/2021,3,Rejeitado,Defeito no produto,1,2
1592,Tapete,12/05/2021,15/05/2021,3,Aceito,,,3
1593,Armário,12/05/2021,14/05/2021,2,Aceito,,,4
1594,Estante,12/05/2021,16/05/2021,4,Rejeitado,Insatisfação com Qualidade,2,2
1595,Tapete,12/05/2021,20/05/2021,8,Rejeitado,Danificado durante o transporte,5,2
1596,Cama,12/05/2021,15/05/2021,3,Aceito,,,5
1597,Cortina,12/05/2021,15/05/2021,3,Aceito,,,3
1598,Cortina,12/05/2021,18/05/2021,6,Aceito,,,4
1599,Armário,13/05/2021,14/05/2021,1,Aceito,,,5
1600,Luminária,13/05/2021,17/05/2021,4,Aceito,,,5
1601,Cadeira de escritório,13/05/2021,17/05/2021,4,Aceito,,,5
1602,Cortina,14/05/2021,17/05/2021,3,Aceito,,,3
1603,Sofá,14/05/2021,16/05/2021,2,Aceito,,,4
1604,Armário,14/05/2021,17/05/2021,3,Aceito,,,3
1605,Cadeira de escritório,14/05/2021,18/05/2021,4,Rejeitado,Defeito no produto,6,1
1606,Tapete,15/05/2021,19/05/2021,4,Aceito,,,4
1607,Cadeira de escritório,15/05/2021,23/05/2021,8,Rejeitado,Defeito no produto,4,2
1608,Sofá,15/05/2021,17/05/2021,2,Aceito,,,4
1609,Sofá,15/05/2021,23/05/2021,8,Aceito,,,5
1610,Mesa de jantar,16/05/2021,22/05/2021,6,Aceito,,,3
1611,Mesa de jantar,16/05/2021,22/05/2021,6,Aceito,,,5
1612,Tapete,16/05/2021,20/05/2021,4,Rejeitado,Danificado durante o transporte,1,2
1613,Cama,16/05/2021,20/05/2021,4,Rejeitado,Não conformidade,1,2
1614,Cortina,17/05/2021,21/05/2021,4,Rejeitado,Insatisfação com Qualidade,4,2
1615,Sofá,17/05/2021,20/05/2021,3,Aceito,,,4
1616,Tapete,17/05/2021,19/05/2021,2,Aceito,,,4
1617,Mesa de jantar,17/05/2021,23/05/2021,6,Aceito,,,5
1618,Armário,17/05/2021,21/05/2021,4,Aceito,,,4
1619,Mesa de jantar,17/05/2021,20/05/2021,3,Aceito,,,5
1620,Estante,17/05/2021,20/05/2021,3,Rejeitado,Danificado durante o transporte,5,2
1621,Mesa de jantar,17/05/2021,23/05/2021,6,Aceito,,,4
1622,Armário,17/05/2021,20/05/2021,3,Aceito,,,3
1623,Cadeira de escritório,17/05/2021,21/05/2021,4,Aceito,,,4
1624,Armário,17/05/2021,20/05/2021,3,Aceito,,,5
1625,Tapete,18/05/2021,20/05/2021,2,Rejeitado,Danificado durante o transporte,1,2
1626,Luminária,19/05/2021,22/05/2021,3,Rejeitado,Danificado durante o transporte,4,2
1627,Sofá,19/05/2021,21/05/2021,2,Aceito,,,3
1628,Armário,20/05/2021,28/05/2021,8,Rejeitado,Defeito no produto,4,2
1629,Cama,20/05/2021,23/05/2021,3,Rejeitado,Defeito no produto,3,2
